Chat Session,Message Date,Delivered Date,Read Date,Service,Type,Sender ID,Sender Name,Status,Subject,Text,Attachment,Attachment type
🍍Pinnacle Crew Jobs 🔨💰,2021-04-09 10:44:32,,2021-04-09 10:45:22,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Haha good I'm glad to hear it thanks Buddy!,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-13 11:48:13,,,SMS,Outgoing,,,Sent,,"Unfortunatelly I cant , I have lectures ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-13 15:16:32,,,SMS,Outgoing,,,Sent,,"sorry its just 2h , to get there is 2h 😂",,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-13 15:17:10,,2021-04-13 15:17:16,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Alright just checking if you could do it, like I said it's a last minute booking ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-13 15:18:04,,,SMS,Outgoing,,,Sent,,sorry if it would be for longer I would but tbh for 2h is not a point,,
🍍Pinnacle Crew Jobs 🔨💰,2021-04-13 15:18:26,,,SMS,Outgoing,,,Sent,,but thanks for asking ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-05-13 13:20:44,,,SMS,Outgoing,,,Sent,,oh sorry I cant ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-05-21 17:39:05,,2021-05-21 18:14:41,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,ok thanks buddy I will keep you updated ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-05-24 11:39:28,,,SMS,Outgoing,,,Sent,,yes I can ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-05-24 11:45:05,,2021-05-24 11:47:13,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,ok great ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-02 11:24:51,,2021-06-02 12:45:30,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Guys do any of you have any expereince painting? Please do let me know for potential work? - Eugene ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-05 09:19:44,,2021-06-05 09:30:16,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Sorted now are you free then ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-06 14:37:20,,,SMS,Outgoing,,,Sent,,yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-06 14:44:49,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-06 14:45:22,,2021-06-06 14:45:27,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,please call Pierre to arrange pick up ok?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-06 14:46:16,,,SMS,Outgoing,,,Sent,,yeah,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-06 14:51:46,,2021-06-06 14:51:52,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Than you ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-06 17:52:39,,,SMS,Outgoing,,,Sent,,ok,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-07 10:26:05,,,SMS,Outgoing,,,Sent,,ok,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-07 13:46:01,,,SMS,Outgoing,,,Sent,,"No, cant for this one ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-07 13:50:17,,2021-06-07 13:50:23,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,can DInis do it?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-10 11:10:28,,,SMS,Outgoing,,,Sent,,nah I cant ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-11 10:18:18,,,SMS,Outgoing,,,Sent,,No I cant ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-12 12:02:49,,,SMS,Outgoing,,,Sent,,may I let you know in 1h ?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-12 12:03:21,,2021-06-12 12:03:21,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Yes please. I have a 9 hour job ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-12 12:47:00,,,SMS,Outgoing,,,Sent,,I cant work this week and next week,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-14 10:00:15,,2021-06-14 10:29:35,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,ok send me the dates you are unavailable,,
🍍Pinnacle Crew Jobs 🔨💰,2021-06-25 19:40:42,,2021-06-25 19:40:42,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Nevermind this i just saw your other text you are busy ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-07-02 10:13:32,,,SMS,Outgoing,,,Sent,,"nope , I am in Poland right now",,
🍍Pinnacle Crew Jobs 🔨💰,2021-07-04 12:17:23,,2021-07-04 12:17:27,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,sorry didnt see that text - when are you back?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-07-04 17:51:45,,2021-07-04 18:14:15,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,ok ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-07-18 10:04:20,,,SMS,Outgoing,,,Sent,,"Naaah , I am still in Polans",,
🍍Pinnacle Crew Jobs 🔨💰,2021-07-18 10:04:24,,,SMS,Outgoing,,,Sent,,Poland,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-11 12:40:19,,2021-08-11 14:07:19,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"Hi Arkadius, when you are back from Poland? ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-12 10:05:08,,2021-08-12 10:06:07,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,hi guys are you available any days over the weekend,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-13 10:04:39,,,SMS,Outgoing,,,Sent,,Sure ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-13 10:04:55,,,SMS,Outgoing,,,Sent,,Sorry that I haven't responded,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-13 10:05:32,,,SMS,Outgoing,,,Sent,,During the week I have a job so so can't work for you but weekend usually free ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-13 10:10:46,,2021-08-13 10:12:00,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,what about this mate not confirmed yet just want to check so long?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-13 10:22:32,,,SMS,Outgoing,,,Sent,,?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-13 11:00:11,,,SMS,Outgoing,,,Sent,,OK ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-19 10:55:12,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-19 14:11:06,,,SMS,Outgoing,,,Sent,,No sorry ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-19 14:30:46,,,SMS,Outgoing,,,Sent,,"Noo, just sat ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-19 14:34:42,,2021-08-19 14:57:55,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,i meant book you off. ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-26 11:50:33,,,SMS,Outgoing,,,Sent,,Yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-26 12:24:11,,,SMS,Outgoing,,,Sent,,Can I do this instead of the previous one ? ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-26 12:24:50,,,SMS,Outgoing,,,Sent,,(I need at least one day off a week ),,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-26 12:28:03,,2021-08-26 12:28:04,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,yes mate thanks,,
🍍Pinnacle Crew Jobs 🔨💰,2021-08-26 12:28:12,,,SMS,Outgoing,,,Sent,,Ok cool ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-03 11:36:17,,,SMS,Outgoing,,,Sent,,Yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-03 13:24:18,,,SMS,Outgoing,,,Sent,,Yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-03 13:30:38,,2021-09-03 13:54:26,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,"OK thanks, please reply with job numbers mate :) ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-16 11:52:17,,,SMS,Outgoing,,,Sent,,Yes for 58536-2,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-16 11:54:55,,,SMS,Outgoing,,,Sent,,Nope,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 12:03:30,,,SMS,Outgoing,,,Sent,,Good for me I am close ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:08:01,,,SMS,Outgoing,,,Sent,,What's the job ?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:11:45,,2021-09-17 17:11:45,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,You think you can do it? ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:12:30,,,SMS,Outgoing,,,Sent,,Can you call me ? ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:12:35,,,SMS,Outgoing,,,Sent,,Please,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:15:35,,2021-09-17 17:15:35,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,I got work for you every day Arkadius ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:16:00,,,SMS,Outgoing,,,Sent,,Cool. Confirm for 58625-1,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:26:15,,,SMS,Outgoing,,,Sent,,Ok,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:39:28,,2021-09-17 17:41:38,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Will have work for you everyday mate no worries ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-17 17:41:50,,,SMS,Outgoing,,,Sent,,Cool. Thank you ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-18 10:44:29,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:35:55,,,SMS,Outgoing,,,Sent,,30 min ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:36:36,,2021-09-19 17:36:36,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Can you please go mate,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:36:40,,,SMS,Outgoing,,,Sent,,Yep ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:36:56,,2021-09-19 17:37:00,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Thanks Arkadius ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:57:14,,,SMS,Outgoing,,,Sent,,Ok,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:58:22,,,SMS,Outgoing,,,Sent,,I will get there max in 15,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:58:28,,,SMS,Outgoing,,,Sent,,min,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-19 17:58:50,,2021-09-19 17:58:50,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,OK thanks mate,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-20 10:56:42,,,SMS,Outgoing,,,Sent,,I can't this one ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-20 11:31:40,,,SMS,Outgoing,,,Sent,,Yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-20 12:47:39,,,SMS,Outgoing,,,Sent,,Naah can't,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-20 12:49:49,,,SMS,Outgoing,,,Sent,,"Nope , ",,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-22 17:09:39,,,SMS,Outgoing,,,Sent,,Unfortunately I can't have that long shift ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-22 17:09:46,,,SMS,Outgoing,,,Sent,,Tmr,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-22 17:12:36,,,SMS,Outgoing,,,Sent,,OK ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 10:54:26,,2021-09-23 10:56:56,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Can you work tomorow mate?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 10:57:43,,,SMS,Outgoing,,,Sent,,Ok,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 10:58:03,,2021-09-23 11:00:24,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,For JL lighting yes?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 11:01:25,,,SMS,Outgoing,,,Sent,,Yes,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 11:01:37,,2021-09-23 11:01:40,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,Thank you ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 13:45:10,,,SMS,Outgoing,,,Sent,,I can't work this sat ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-23 13:46:10,,2021-09-23 13:48:25,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,No worries will book you off ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-24 11:24:40,,2021-09-24 11:43:22,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,I know you said you couldnt do Sat but this is only at night what do you think?,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-24 11:45:37,,,SMS,Outgoing,,,Sent,,OK ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-24 11:45:41,,,SMS,Outgoing,,,Sent,,easy ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-24 11:45:54,,2021-09-24 11:46:14,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,perfect thanks ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-25 16:56:13,,,SMS,Outgoing,,,Sent,,OK,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-26 13:44:04,,,SMS,Outgoing,,,Sent,,I haven't check properly,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-26 13:47:02,,2021-09-26 13:51:38,SMS,Incoming,+447809556540,🍍Pinnacle Crew Jobs 🔨💰,Read,,I've already given the client names as they were meant to have 6 crew. Please can you go ,,
🍍Pinnacle Crew Jobs 🔨💰,2021-09-26 13:52:42,,,SMS,Outgoing,,,Sent,,Really can't sorry find someone else ,,
